source,item_id,code,category_id,category,intent,customer_utterances,agent_response,agent_action,status,notes
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100010,100010,general,General,error_response_invalid_parameter,I got error code 100010; INVALID_PARAMETER,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100011,100011,general,General,error_response_feature_disabled,I got error code 100011; FEATURE_DISABLED,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-100012,100012,general,General,error_response_credential_empty,I got error code 100012; CREDENTIAL_EMPTY,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-110000,110000,token_validate,Token Validate,error_response_token_not_found,I got error code 110000; TOKEN_NOT_FOUND,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-110001,110001,token_validate,Token Validate,error_response_token_expired,I got error code 110001; TOKEN_EXPIRED,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-110002,110002,token_validate,Token Validate,error_response_token_attempt_time_maximum,I got error code 110002; TOKEN_ATTEMPT_TIME_MAXIMUM,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-110003,110003,token_validate,Token Validate,error_response_token_invalid,I got error code 110003; TOKEN_INVALID,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-110004,110004,token_validate,Token Validate,error_response_unsupported_otp_method,I got error code 110004; UNSUPPORTED_OTP_METHOD,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-110005,110005,token_validate,Token Validate,error_response_token_not_resend,I got error code 110005; TOKEN_NOT_RESEND,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-200001,200001,validation_-_email,Validation - Email,error_response_email_wrong_format,I got error code 200001; EMAIL_WRONG_FORMAT,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-210001,210001,validation_-_phone,Validation - Phone,error_response_phone_wrong_format,I got error code 210001; PHONE_WRONG_FORMAT,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-220001,220001,validation_-_date,Validation - Date,error_response_date_wrong_format,I got error code 220001; DATE_WRONG_FORMAT,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-300001,300001,file,File,error_response_file_invalid_extension,I got error code 300001; FILE_INVALID_EXTENSION,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-300002,300002,file,File,error_response_file_not_found,I got error code 300002; FILE_NOT_FOUND,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-310001,310001,upload_file,Upload File,error_response_file_upload_fail,I got error code 310001; FILE_UPLOAD_FAIL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-310002,310002,upload_file,Upload File,error_response_file_maximum_file_size,I got error code 310002; FILE_MAXIMUM_FILE_SIZE,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-320001,320001,export_file,Export File,error_response_export_request_not_found,I got error code 320001; EXPORT_REQUEST_NOT_FOUND,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-320002,320002,export_file,Export File,error_response_export_request_not_ready,I got error code 320002; EXPORT_REQUEST_NOT_READY,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-320003,320003,export_file,Export File,error_response_export_request_progressing,I got error code 320003; EXPORT_REQUEST_PROGRESSING,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-400001,400001,company,Company,error_response_company_contact_not_unique,I got error code 400001; COMPANY_CONTACT_NOT_UNIQUE,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-400002,400002,company,Company,error_response_company_name_not_null,I got error code 400002; COMPANY_NAME_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-400003,400003,company,Company,error_response_company_profile_not_null,I got error code 400003; COMPANY_PROFILE_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-400004,400004,company,Company,error_response_company_status_not_valid,I got error code 400004; COMPANY_STATUS_NOT_VALID,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-400005,400005,company,Company,error_response_company_not_unique,I got error code 400005; COMPANY_NOT_UNIQUE,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-400006,400006,company,Company,error_response_company_not_found,I got error code 400006; COMPANY_NOT_FOUND,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-410001,410001,company_department,Company Department,error_response_company_department_not_unique,I got error code 410001; COMPANY_DEPARTMENT_NOT_UNIQUE,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-410002,410002,company_department,Company Department,error_response_department_name_not_null,I got error code 410002; DEPARTMENT_NAME_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-410003,410003,company_department,Company Department,error_response_department_status_not_valid,I got error code 410003; DEPARTMENT_STATUS_NOT_VALID,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-410004,410004,company_department,Company Department,error_response_department_not_null,I got error code 410004; DEPARTMENT_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-420001,420001,role,Role,error_response_role_name_not_null,I got error code 420001; ROLE_NAME_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-420002,420002,role,Role,error_response_role_not_unique,I got error code 420002; ROLE_NOT_UNIQUE,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-420003,420003,role,Role,error_response_role_status_not_valid,I got error code 420003; ROLE_STATUS_NOT_VALID,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-420004,420004,role,Role,error_response_role_not_found,I got error code 420004; ROLE_NOT_FOUND,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430001,430001,user,User,error_response_user_not_unique,I got error code 430001; USER_NOT_UNIQUE,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430002,430002,user,User,error_response_user_status_not_valid,I got error code 430002; USER_STATUS_NOT_VALID,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430003,430003,user,User,error_response_user_name_not_null,I got error code 430003; USER_NAME_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430004,430004,user,User,error_response_user_password_not_null,I got error code 430004; USER_PASSWORD_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430005,430005,user,User,error_response_user_login_not_null,I got error code 430005; USER_LOGIN_NOT_NULL,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430006,430006,user,User,error_response_user_credential_wrong,I got error code 430006; USER_CREDENTIAL_WRONG,"Please verify your details and try again. If issue persist, kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430007,430007,user,User,error_response_user_password_pattern_invalid,I got error code 430007; USER_PASSWORD_PATTERN_INVALID,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430008,430008,user,User,error_response_user_contact_not_found,I got error code 430008; USER_CONTACT_NOT_FOUND,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430009,430009,user,User,error_response_user_account_not_verified,I got error code 430009; USER_ACCOUNT_NOT_VERIFIED,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-430010,430010,user,User,error_response_user_account_locked,I got error code 430010; USER_ACCOUNT_LOCKED,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-440001,440001,banner,Banner,error_response_banner_status_not_valid,I got error code 440001; BANNER_STATUS_NOT_VALID,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-450001,450001,user_reset_password,User Reset Password,error_response_user_rs_token_invalid,I got error code 450001; USER_RS_TOKEN_INVALID,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-450002,450002,user_reset_password,User Reset Password,error_response_user_rs_temp_pass_invalid,I got error code 450002; USER_RS_TEMP_PASS_INVALID,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-460001,460001,user_password,User Password,error_response_user_password_not_match,I got error code 460001; USER_PASSWORD_NOT_MATCH,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-460002,460002,user_password,User Password,error_response_user_token_expired,I got error code 460002; USER_TOKEN_EXPIRED,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-460003,460003,user_password,User Password,error_response_user_token_invalid,I got error code 460003; USER_TOKEN_INVALID,"Sorry, we're unable to process your request.
Kindly reach out to IT support team for further assistance [{code}].","Apologize, share the code, and route to IT support / internal investigation.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-460004,460004,user_password,User Password,error_response_user_password_invalid_format,I got error code 460004; USER_PASSWORD_INVALID_FORMAT,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500001,500001,vehicle,Vehicle,error_response_vehicle_plate_number_not_valid,I got error code 500001; VEHICLE_PLATE_NUMBER_NOT_VALID,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500002,500002,request,Request,error_response_req_applicant_wrong_format,I got error code 500002; REQ_APPLICANT_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500003,500003,request,Request,error_response_unknown_contact_type,I got error code 500003; UNKNOWN_CONTACT_TYPE,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500004,500004,request,Request,error_response_req_quotation_setting_wrong_format,I got error code 500004; REQ_QUOTATION_SETTING_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500007,500007,request,Request,error_response_pref_time_wrong_format,I got error code 500007; PREF_TIME_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500008,500008,request,Request,error_response_date_cannot_be_past_date,I got error code 500008; DATE_CANNOT_BE_PAST_DATE,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500009,500009,request,Request,error_response_missing_name_or_wrong_format,I got error code 500009; MISSING_NAME_OR_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500010,500010,request,Request,error_response_missing_dob_or_wrong_format,I got error code 500010; MISSING_DOB_OR_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500011,500011,request,Request,error_response_missing_nationality_or_wrong_format,I got error code 500011; MISSING_NATIONALITY_OR_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500012,500012,request,Request,error_response_missing_id_type_or_wrong_format,I got error code 500012; MISSING_ID_TYPE_OR_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500013,500013,request,Request,error_response_missing_id_data_or_wrong_format,I got error code 500013; MISSING_ID_DATA_OR_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500014,500014,request,Request,error_response_postcode_missing_or_wrong_format,I got error code 500014; POSTCODE_MISSING_OR_WRONG_FORMAT,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500015,500015,quotation,Quotation,error_response_quotation_expired,I got error code 500015; QUOTATION_EXPIRED,Please create new quotation.,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500016,500016,quotation,Quotation,error_response_quotation_not_found,I got error code 500016; QUOTATION_NOT_FOUND,Please verify your details and try again. [{code}],Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500017,500017,quotation,Quotation,error_response_quotation_covernote_address_too_long,I got error code 500017; QUOTATION_COVERNOTE_ADDRESS_TOO_LONG,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500018,500018,quotation,Quotation,error_response_quotation_vehicle_age_not_support_cover_type,I got error code 500018; QUOTATION_VEHICLE_AGE_NOT_SUPPORT_COVER_TYPE,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-500019,500019,quotation,Quotation,error_response_quotation_driver_age_limit_exceed,I got error code 500019; QUOTATION_DRIVER_AGE_LIMIT_EXCEED,Driver age exceeded limit.,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600001,600001,quotation_response_success,Quotation Response Success,error_response_quotation_generate_quotation_success,I got error code 600001; QUOTATION_GENERATE_QUOTATION_SUCCESS,Request Success,No troubleshooting needed; proceed with the customer journey.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600002,600002,quotation_response_success,Quotation Response Success,error_response_quotation_update_success,I got error code 600002; QUOTATION_UPDATE_SUCCESS,Request Success,No troubleshooting needed; proceed with the customer journey.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600003,600003,quotation_response_success,Quotation Response Success,error_response_quotation_update_personal_info_success,I got error code 600003; QUOTATION_UPDATE_PERSONAL_INFO_SUCCESS,Request Success,No troubleshooting needed; proceed with the customer journey.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600004,600004,quotation_response_success,Quotation Response Success,error_response_quotation_issue_policy_success,I got error code 600004; QUOTATION_ISSUE_POLICY_SUCCESS,Request Success,No troubleshooting needed; proceed with the customer journey.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600010,600010,quotation_response_error,Quotation Response Error,error_response_quotation_provider_validation_error_id_car,I got error code 600010; QUOTATION_PROVIDER_VALIDATION_ERROR_ID_CAR,"Please verify your details and try again. If issue persist, kindly reach out to our customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600011,600011,quotation_response_error,Quotation Response Error,error_response_quotation_provider_request_renewed_car,I got error code 600011; QUOTATION_PROVIDER_REQUEST_RENEWED_CAR,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600013,600013,quotation_response_error,Quotation Response Error,error_response_quotation_provider_request_route_cs,I got error code 600013; QUOTATION_PROVIDER_REQUEST_ROUTE_CS,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600099,600099,quotation_construct_request_error,Quotation Construct Request Error,error_response_quotation_provider_request_error,I got error code 600099; QUOTATION_PROVIDER_REQUEST_ERROR,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600015,600015,quotation_payment,Quotation Payment,error_response_quotation_provider_payment_success,I got error code 600015; QUOTATION_PROVIDER_PAYMENT_SUCCESS,Request Success,No troubleshooting needed; proceed with the customer journey.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-600014,600014,quotation_payment,Quotation Payment,error_response_quotation_provider_payment_hold_on,I got error code 600014; QUOTATION_PROVIDER_PAYMENT_HOLD_ON,"Sorry, we're unable to process your request. Kindly reach out to customer support team for further assistance [{code}].","Apologize, share the code, and route to CoverMi customer support.",ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-700001,700001,member,Member,error_response_member_password_confirm_password_mismatch,I got error code 700001; MEMBER_PASSWORD_CONFIRM_PASSWORD_MISMATCH,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-700002,700002,member,Member,error_response_member_identification_invalid,I got error code 700002; MEMBER_IDENTIFICATION_INVALID,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-700003,700003,member,Member,error_response_member_identification_exists,I got error code 700003; MEMBER_IDENTIFICATION_EXISTS,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-700004,700004,member,Member,error_response_member_password_pattern_invalid,I got error code 700004; MEMBER_PASSWORD_PATTERN_INVALID,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
CoverMi system error code_senang_v2-designer_edit.xlsx / response_code,ERR-RESPONSE-700005,700005,member,Member,error_response_member_not_found,I got error code 700005; MEMBER_NOT_FOUND,Some of the info entered  was invalid. Please check your details and try again,Use the approved message and check the related transaction or service status.,ready,ok to proceed
